9
22 22 23 25 22 24 27 26 25 
5
990 282 37 136 0
959 276 35 112 0
923 271 51 84 0
893 277 37 46 0
289 631 483 134 0
767 569 66 73 0
893 508 37 41 0
222 761 76 36 0
178 730 50 41 0
153 713 56 27 0
134 697 61 27 0
126 525 36 189 0
140 403 54 150 0
131 367 254 84 0
758 761 298 33 0
1038 395 17 379 0
1026 402 19 29 0
864 224 68 62 0
898 123 47 100 0
866 31 66 125 0
897 -1 42 31 0
346 -1 41 367 0
225 -2 125 131 0
0 254 322 196 0
31 450 259 62 0
792 731 264 65 0
734 688 68 72 0
637 623 107 89 0
540 530 167 130 0
543 407 71 127 0
606 435 74 117 0
415 468 186 156 0
411 583 249 131 0
99 689 372 69 0
58 501 71 227 0
123 487 39 118 0
281 371 42 230 0
134 497 156 57 0
3 512 123 275 0
0 760 549 68 0
26 -3 101 308 0
258 116 58 43 0
728 661 44 32 0
773 713 50 28 0
322 8 178 57 0
352 29 183 64 0
417 73 325 114 0
639 143 186 80 0
675 150 278 136 0
704 240 262 72 0
801 241 179 117 0
734 433 225 49 0
765 355 236 80 0
704 476 293 99 0
675 572 316 100 0
641 669 389 76 0
609 743 431 86 0
582 792 89 48 0
352 794 284 61 0
-264 731 264 65 0
284 635 358 131 0
361 740 269 72 0
372 572 80 67 0
282 569 94 72 0
479 536 74 77 0
288 -3 34 35 0
2 760 371 109 0
297 658 90 140 0
291 574 95 35 0
332 477 21 100 0
345 354 41 161 0
383 280 64 102 0
291 304 41 270 0
57 324 243 90 0
25 335 67 517 0
40 732 282 95 0
158 703 64 38 0
75 515 114 24 0
232 513 60 27 0
309 151 77 132 0
890 275 77 111 0
319 -2 35 167 0
995 -2 42 553 0
929 576 100 126 0
961 545 64 34 0
931 748 106 61 0
961 673 57 90 0
926 793 86 98 0
897 865 59 55 0
863 896 83 117 0
883 1003 116 49 0
331 788 56 265 0
128 799 29 33 0
225 1054 125 131 0
256 222 291 69 0
342 289 143 33 0
477 381 71 82 0
669 247 68 87 0
790 470 78 82 0
699 569 72 81 0
469 531 80 89 0
186 471 136 211 0
443 756 72 83 0
505 882 77 83 0
887 824 79 79 0
989 315 67 145 0
1028 285 29 194 0
896 -1 62 63 0
52 -1 78 675 0
65 598 65 267 0
100 831 91 75 0
63 904 68 149 0
126 902 25 24 0
251 1022 73 28 0
814 29 202 46 0
767 49 143 237 0
802 189 139 339 0
439 529 509 79 0
98 543 454 416 0
161 507 320 37 0
129 942 327 44 0
192 944 288 72 0
225 993 240 56 0
575 62 131 196 0
638 311 130 201 0
537 338 45 139 0
478 276 36 77 0
448 344 34 78 0
353 269 32 91 0
314 369 40 81 0
384 407 30 70 0
478 438 43 80 0
126 220 66 72 0
768 -3 68 65 0
962 -2 58 35 0
2 284 128 197 0
286 1044 147 9 0
225 1042 82 11 0
865 223 31 64 0
201 133 279 441 0
408 77 269 116 0
639 30 130 225 0
750 17 219 79 0
895 894 64 92 0
609 513 30 61 0
574 446 39 39 0
543 378 34 68 0
578 315 30 67 0
609 252 31 69 0
667 247 44 44 0
732 251 33 40 0
791 252 45 73 0
831 315 31 43 0
860 376 46 48 0
824 441 50 77 0
797 499 36 52 0
269 563 84 490 0
928 88 129 100 0
895 188 162 124 0
930 606 125 192 0
960 577 95 53 0
989 547 66 45 0
1023 511 33 61 0
963 792 93 44 0
992 835 63 218 0
-160 196 321 125 0
62 320 227 33 0
93 354 225 31 0
128 385 190 33 0
191 417 127 63 0
222 479 66 32 0
159 417 32 34 0
158 287 98 33 0
161 224 35 64 0
193 255 31 31 0
159 4 130 184 0
273 -5 213 35 0
448 14 248 109 0
673 38 194 145 0
864 23 127 164 0
896 122 94 133 0
637 316 197 132 0
993 62 64 133 0
510 765 110 197 0
610 760 294 166 0
26 607 102 445 0
104 828 436 127 0
15 576 83 56 0
17 544 49 40 0
2 507 31 50 0
890 760 167 133 0
66 131 133 35 0
65 221 259 33 0
191 -4 170 242 0
288 26 129 293 0
410 -1 38 166 0
578 126 157 124 0
700 63 36 65 0
546 63 31 94 0
739 221 152 158 0
864 -4 113 228 0
800 -3 102 152 0
769 255 222 544 0
898 739 123 120 0
958 788 82 147 0
898 924 126 103 0
802 927 102 31 0
802 855 33 72 0
-63 62 64 133 0
90 889 201 71 0
478 350 141 199 0
3 41 63 50 0
54 22 158 48 0
2 763 288 135 0
776 1017 58 33 0
958 1016 86 33 0
