9
13 12 10 8 15 11 12 12 15 
3
1 552 603 
11 964 720 
11 979 523 
11 725 601 
12 460 318 
11 840 133 
11 478 87 
12 380 730 
10 802 536 
2 702 271 
2 801 730 
10 254 599 
11 252 501 
10 206 580 
11 449 576 
11 170 203 
11 832 689 
11 861 89 
12 487 575 
12 512 445 
12 1005 454 
1 235 579 
2 154 667 
10 247 818 
2 284 818 
10 716 342 
10 63 690 
11 232 663 
11 611 492 
11 544 297 
11 77 372 
12 623 578 
12 170 195 
1 358 177 
2 703 454 
11 428 986 
11 917 526 
11 825 849 
11 415 46 
12 108 709 
13 119 576 
1 241 694 
2 151 672 
10 176 712 
10 988 472 
11 172 971 
11 408 319 
11 814 941 
11 543 835 
11 607 155 
11 628 376 
11 774 788 
12 426 170 
12 908 770 
1 509 189 
2 770 528 
2 287 184 
3 156 578 
10 726 255 
11 596 454 
11 27 609 
11 85 1014 
11 33 251 
11 492 143 
11 278 143 
12 583 283 
12 619 500 
1 555 680 
2 649 680 
10 523 247 
10 701 468 
11 410 987 
11 536 750 
11 779 382 
11 850 729 
12 407 623 
12 888 1007 
12 671 330 
1 632 392 
2 773 439 
2 412 839 
10 154 977 
10 322 105 
11 176 694 
11 723 974 
11 820 308 
11 882 681 
11 653 574 
11 464 385 
12 470 788 
12 1009 206 
2 441 988 
2 644 153 
10 115 190 
10 788 190 
10 877 892 
11 836 982 
11 821 826 
11 440 955 
11 769 101 
11 610 23 
11 423 747 
11 678 675 
12 757 26 
1 711 277 
2 34 117 
2 130 703 
10 634 89 
